entity_id	connectivity	display_name
ent_flesh_golem	0.668964	flesh golem
ent_festival_bbq	0.665592	festival BBQ
ent_traps	0.656526	traps
ent_dwarf	0.635118	Dwarf
ent_the_crowd	0.628523	the crowd
ent_the_kaiju_formation	0.616499	Sewer Meat Monster
ent_potions	0.612491	Potions
ent_the_river	0.600371	the river
ent_magical_runes	0.588665	Rune alarms
ent_gates_and_toll	0.574001	Gates and Toll
ent_charismatic_cult_leaders	0.565349	charismatic cult leaders
ent_the_protest	0.557015	the protest
ent_festival_of_expansion	0.544991	Festival of Expansion
ent_luminox_sheep	0.536021	Luminox Sheep
ent_stormspire_academy	0.531089	Stormspire Academy
ent_sunflower_oil	0.523361	Sunflower Oil
ent_stance_on_cult_issue	0.515471	Stance on Cult Issue
ent_tapestries	0.511241	Tapestries
ent_flutter_ferrets	0.508817	Flutter Ferrets
ent_starling_cows	0.503861	Starling Cows
ent_wizards_tower_brewing_co	0.502175	Wizard's Tower Brewing Co.
ent_adventurers	0.497435	adventurers
ent_elite_guard_captain	0.487001	elite guard captain
ent_agricultural_fields	0.477299	Agricultural Fields
ent_human	0.472240	Human
ent_clues	0.471604	clues
ent_guard_towers	0.467057	Guard Towers
ent_dragonborn	0.466325	Dragonborn
ent_political_intrigue_among_the_council	0.463270	Political Intrigue Among the Council
ent_the_planes	0.461584	the planes
ent_weapons	0.457894	Weapons
ent_copper_and_quartz_inn	0.453886	Copper and Quartz Inn
ent_barin_coppergleam	0.453665	Barin Coppergleam
ent_enchantments	0.451882	Enchantments
ent_underground	0.450196	underground
ent_tools	0.448192	Tools
ent_statues	0.447556	statues
ent_orchards	0.447460	Orchards
ent_spells	0.446506	spells
ent_battle_with_the_wolf_in_the_council_chamber	0.445870	Battle with The Wolf in the Council Chamber
ent_guilds	0.445870	guilds
ent_hidden_passageways	0.445870	hidden passageways
ent_giant_fish	0.445456	giant fish
ent_the_new_map	0.444916	The new map
ent_lightweight_armor	0.444184	Lightweight Armor
ent_trinkets	0.444184	trinkets
ent_secret_hideout	0.443548	secret hideout
ent_amulet_of_council	0.442498	amulet of council
ent_gates	0.442180	Gates
ent_branch_3_taking_care_of_torbin	0.440494	Branch 3: Taking Care of Torbin
ent_lake_mirathorn_docks	0.440176	Lake Mirathorn Docks
ent_ancient_airship	0.439858	ancient airship
ent_guard_barracks	0.435436	guard barracks
ent_tidal_turtles	0.435334	Tidal Turtles
ent_storehouses	0.435118	storehouses
ent_agricultural_union	0.434800	Agricultural Union
ent_robes_of_deep_violet	0.433432	robes of deep violet
ent_founding_of_mirathorn	0.433114	Founding of Mirathorn
ent_the_road_to_mirathorn	0.432796	The road to Mirathorn
ent_magical_scrolls	0.431842	magical scrolls
ent_timer	0.426466	timer
ent_hidden_meat_cache	0.424780	Hidden Meat Cache
ent_ritual_chamber	0.424780	ritual room
ent_storage_room	0.423412	storage room
ent_the_surface	0.421408	the surface
ent_branch_1_chase_the_wolf	0.419404	Branch 1: Chase the Wolf
ent_wizards_meat_detection_spell	0.419404	Wizards’ meat detection spell
ent_sprite	0.401961	Sprite
ent_pippa	0.380235	Pippa
ent_captain_idris	0.377277	Captain Idris
ent_the_elderwyld	0.360165	The Elderwyld
ent_zora	0.359145	Zora
ent_floating_cheese	0.350559	Floating Cheese
ent_meat_piles	0.342477	Meat Piles
ent_sunflower_ducks	0.335481	Sunflower Ducks
ent_meat_mound	0.334779	Meat Mound
ent_celestial_cheese	0.330741	Celestial Cheese
ent_grishna_the_half_orc	0.326127	ent_grishna_the_half_orc
ent_the_continent	0.325365	the continent
ent_townfolk	0.319701	townfolk
ent_travelers	0.319257	Travelers
ent_main_gates	0.318621	Main Gates
ent_buoyancy_dust	0.317349	Buoyancy Dust
ent_tunnel_to_warehouse	0.315693	ent_tunnel_to_warehouse
ent_door	0.314643	ent_door
ent_captain_lysandra_ironveil	0.306087	ent_captain_lysandra_ironveil
ent_float_goat_wool	0.305229	Float Goat wool
ent_temple_of_the_nameless_goddess	0.303225	Temple of the Nameless Goddess
ent_shepherds_flock_protest	0.302493	Shepherd's Flock Protest
ent_luminox_milk	0.302271	Luminox Milk
ent_garments	0.301857	Garments
ent_stonebridge	0.301347	Stonebridge
