question_number,question_id,mode,authority_label,support_allowed_for_mode,query_affordances,expected_support_refs_eval_only,baseline_pr65_first_any_support_candidate_rank,first_any_support_candidate_rank,first_required_support_candidate_rank,first_required_support_candidate_ref,first_required_support_admitted_rank,required_support_rendered,support_token_share,support_match_channels,policy_classification,next_failure_surface
11,q11_what_are_the_first_three_npcs_the_player,prior_only,support_knowledge_required,False,,support:hempholm_jove_family|support:hempholm_morwin_store|support:hempholm_narfi_optional_healer|support:hempholm_saladin_optional,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
12,q12_what_questions_are_the_players_most_like,prior_only,mixed,False,,support:hempholm_jove_family|support:hempholm_tree_mechanics_and_clues,,,,,,False,0.0018,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
13,q13_what_observable_clues_should_reveal_that,prior_only,support_knowledge_required,False,,support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,,,,,,False,0.0022,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
14,q14_what_skill_checks_should_be_available_fo,prior_only,mixed,False,,support:geomantic_drake_ecology|support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,,,,,,False,0.0023,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
15,q15_how_do_i_teach_the_tree_s_reach_and_move,prior_only,creative_generation,False,,support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,,,,,,False,0.0021,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
16,q16_who_in_town_wants_to_attack_or_burn_the,prior_only,creative_generation,False,,support:hempholm_jove_family|support:hempholm_local_social_pressure,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
17,q17_how_can_stafl_or_another_social_characte,prior_only,mixed,False,,support:hempholm_local_social_pressure|support:hempholm_narfi_optional_healer,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
18,q18_what_happens_if_the_party_fails_to_stop,prior_only,creative_generation,False,,support:hempholm_local_social_pressure|support:hempholm_narfi_optional_healer,,,,,,False,0.0027,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
19,q19_what_triggers_the_tree_to_escalate_from,prior_only,creative_generation,False,,,,,,,,False,0.003,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
20,q20_design_the_tree_encounter_as_a_battlefie,prior_only,support_knowledge_required,False,,support:hempholm_tree_mechanics_and_clues,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
21,q21_what_should_each_type_of_pc_be_able_to_c,prior_only,mixed,False,,,,,,,,False,0.0017,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
22,q22_if_the_party_defeats_the_tree__what_rema,prior_only,support_knowledge_required,False,,support:geomantic_drake_ecology|support:hempholm_treasure_materials,,,,,,False,0.0015,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
23,q23_how_would_local_craftspeople__farmers__c,prior_only,creative_generation,False,,support:hempholm_morwin_store|support:hempholm_small_problems|support:hempholm_treasure_materials,,,,,,False,0.003,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
24,q24_what_questions_should_the_weird_remains,prior_only,creative_generation,False,,support:hempholm_treasure_materials,,,,,,False,0.0015,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
25,q25_how_does_hempholm_celebrate_if_the_visib,prior_only,support_knowledge_required,False,,support:hempholm_morwin_store|support:hempholm_premature_celebration|support:hempholm_small_problems,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
26,q26_what_social_friction_should_exist_during,prior_only,creative_generation,False,,support:hempholm_premature_celebration,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
27,q27_which_pcs_are_likely_to_participate_in_c,prior_only,mixed,False,,support:hempholm_premature_celebration|support:hempholm_small_problems,,,,,,False,0.0032,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
28,q28_what_is_the_deeper_problem_beneath_the_v,prior_only,support_knowledge_required,False,,support:hempholm_caretaker_second_wave|support:hempholm_marrow_guardian_child|support:hempholm_root_descent|support:hempholm_saladin_optional,,,,,,False,0.0018,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_required_policy_suppressed_expected,support_required_policy_suppressed_expected
29,q29_how_do_i_foreshadow_the_deeper_threat_be,prior_only,creative_generation,False,,support:hempholm_caretaker_second_wave|support:hempholm_root_descent,,,,,,False,0.0015,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
30,q30_what_should_the_cliffhanger_look_like_if,prior_only,creative_generation,False,,support:hempholm_caretaker_second_wave|support:hempholm_premature_celebration,,,,,,False,0.0014,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
31,q31_if_the_session_ends_on_the_deeper_threat,prior_only,creative_generation,False,,support:hempholm_caretaker_second_wave|support:hempholm_marrow_guardian_child|support:hempholm_root_descent,,,,,,False,0.0017,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
32,q32_what_resources_are_likely_depleted_or_co,prior_only,mixed,False,,,,,,,,False,0.0013,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
33,q33_what_unanswered_questions_should_the_pla,prior_only,creative_generation,False,,support:hempholm_continuation_guild_cleanup|support:hempholm_marrow_guardian_child|support:hempholm_root_descent,,,,,,False,0.0017,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
34,q34_which_facts_are_retrieved_from_prior_can,prior_only,mixed,False,,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_travel_safe_generation_guidance|support:elderwyld_world_layer_overview|support:hempholm_continuation_guild_cleanup|support:mirathorn_city_destination_node|support:mireward_reach_northbound_route_warning,,,,,,False,0.0018,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
36,q36_what_information_is_missing_from_the_cur,prior_only,worldbuilding_required,False,,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_world_layer_overview|support:mirathorn_city_destination_node|support:mireward_reach_northbound_route_warning|support:stone_bridge_to_mirathorn_route_gap,,,,,,False,0.0024,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
37,q37_what_prep_can_be_safely_generated_anyway,prior_only,creative_generation,False,,support:elderwyld_travel_safe_generation_guidance,,,,,,False,0.0013,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
38,q38_what_should_the_gm_decide_manually,prior_only,mixed,False,,support:elderwyld_travel_safe_generation_guidance|support:hempholm_continuation_guild_cleanup|support:stone_bridge_to_mirathorn_route_gap,,,,,,False,0.0032,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
1,q01_who_are_the_npcs_the_players_encountered,prior_plus_support_content_only,prior_recap_supported,True,encounter_design,,,12,12,support:hempholm_local_social_pressure,8,False,0.0634,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
2,q02_if_the_players_are_not_ready_to_leave_to,prior_plus_support_content_only,mixed,True,,,,,,,,False,0.0019,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
3,q03_how_far_away_is_mirathorn_at_this_point,prior_plus_support_content_only,worldbuilding_required,True,encounter_design,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_fantastic_livestock|support:elderwyld_reaches_distance_unit|support:elderwyld_road_grammar_general|support:elderwyld_travel_safe_generation_guidance|support:elderwyld_world_layer_overview|support:hempholm_support_overview|support:migrating_forest_pressure_logic|support:mirathorn_city_destination_node|support:mirathorn_final_approach_from_east|support:mireward_reach_northbound_route_warning|support:pre_era_conical_hills_world_ecology|support:stone_bridge_to_mirathorn_route_gap,,14,15,support:hempholm_support_overview,,False,0.0535,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
4,q04_we_need_a_good_hemp_dealing_merchant_who,prior_plus_support_content_only,support_knowledge_required,True,first_impression,support:hempholm_hemp_economy|support:hempholm_road_hook_merchant_role|support:hempholm_saladin_optional|support:hempholm_support_overview,31,12,12,support:hempholm_road_hook_merchant_role,7,True,0.3749,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
5,q05_there_is_a_gigantic_tree_growing_in_hemp,prior_plus_support_content_only,support_knowledge_required,True,visible_landmark,support:hempholm_road_hook_merchant_role|support:hempholm_tree_visible_threat,22,15,19,support:hempholm_tree_visible_threat,11,True,0.4003,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_allowed_and_present,tier_a_gold_regression
6,q06_what_are_some_rumors_that_the_npc_could,prior_plus_support_content_only,mixed,True,,support:hempholm_hemp_economy|support:hempholm_road_hook_merchant_role,,,,,,False,0.0016,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
7,q07_what_is_the_tone_of_the_road_from_stone,prior_plus_support_content_only,worldbuilding_required,True,,support:elderwyld_fantastic_livestock|support:elderwyld_reaches_distance_unit|support:elderwyld_road_grammar_general|support:migrating_forest_pressure_logic|support:mirathorn_final_approach_from_east|support:pre_era_conical_hills_world_ecology,,,,,,False,0.0026,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
8,q08_give_me_three_small_road_events_that_can,prior_plus_support_content_only,creative_generation,True,,support:conical_hill_night_camp_texture|support:elderwyld_fantastic_livestock|support:elderwyld_road_grammar_general|support:geomantic_drake_ecology|support:migrating_forest_pressure_logic|support:pre_era_conical_hills_world_ecology,19,9,,,,False,0.451,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
9,q09_the_players_are_likely_still_riding_the,prior_plus_support_content_only,prior_recap_supported,True,first_impression|encounter_design,support:conical_hill_night_camp_texture,,12,,,,False,0.0773,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
10,q10_as_the_party_approaches_hempholm__what_s,prior_plus_support_content_only,support_knowledge_required,True,approach_description|boxed_text|visible_landmark|first_impression,support:hempholm_support_overview|support:hempholm_tree_visible_threat,,13,13,support:hempholm_tree_visible_threat,8,True,0.4178,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_allowed_and_present,ok_or_later_stage
11,q11_what_are_the_first_three_npcs_the_player,prior_plus_support_content_only,support_knowledge_required,True,first_impression|npc_intro|social_tension,support:hempholm_jove_family|support:hempholm_morwin_store|support:hempholm_narfi_optional_healer|support:hempholm_saladin_optional,,12,13,support:hempholm_jove_family,9,True,0.3417,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_allowed_and_present,ok_or_later_stage
12,q12_what_questions_are_the_players_most_like,prior_plus_support_content_only,mixed,True,,support:hempholm_jove_family|support:hempholm_tree_mechanics_and_clues,18,11,15,support:hempholm_tree_mechanics_and_clues,11,True,0.4269,"{""planner_affordances"": false, ""retrieval_terms"": true, ""support_alias"": true, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
13,q13_what_observable_clues_should_reveal_that,prior_plus_support_content_only,support_knowledge_required,True,environmental_hazard,support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,17,13,14,support:hempholm_tree_mechanics_and_clues,8,True,0.4841,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
14,q14_what_skill_checks_should_be_available_fo,prior_plus_support_content_only,mixed,True,,support:geomantic_drake_ecology|support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,17,8,16,support:hempholm_tree_mechanics_and_clues,10,True,0.4881,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
15,q15_how_do_i_teach_the_tree_s_reach_and_move,prior_plus_support_content_only,creative_generation,True,,support:hempholm_tree_mechanics_and_clues|support:hempholm_tree_visible_threat,,,,,,False,0.0024,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
16,q16_who_in_town_wants_to_attack_or_burn_the,prior_plus_support_content_only,creative_generation,True,,support:hempholm_jove_family|support:hempholm_local_social_pressure,,,,,,False,0.0024,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
17,q17_how_can_stafl_or_another_social_characte,prior_plus_support_content_only,mixed,True,,support:hempholm_local_social_pressure|support:hempholm_narfi_optional_healer,,18,19,support:hempholm_narfi_optional_healer,12,True,0.1139,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
18,q18_what_happens_if_the_party_fails_to_stop,prior_plus_support_content_only,creative_generation,True,,support:hempholm_local_social_pressure|support:hempholm_narfi_optional_healer,,,,,,False,0.0027,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
19,q19_what_triggers_the_tree_to_escalate_from,prior_plus_support_content_only,creative_generation,True,,,,,,,,False,0.003,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
20,q20_design_the_tree_encounter_as_a_battlefie,prior_plus_support_content_only,support_knowledge_required,True,encounter_design|battlefield_terrain|civilian_pressure|environmental_hazard|objective_design,support:hempholm_tree_mechanics_and_clues,,12,13,support:hempholm_tree_mechanics_and_clues,8,True,0.4942,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
21,q21_what_should_each_type_of_pc_be_able_to_c,prior_plus_support_content_only,mixed,True,,,,,,,,False,0.0017,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
22,q22_if_the_party_defeats_the_tree__what_rema,prior_plus_support_content_only,support_knowledge_required,True,,support:geomantic_drake_ecology|support:hempholm_treasure_materials,23,14,,,,False,0.274,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_allowed_and_present,ok_or_later_stage
23,q23_how_would_local_craftspeople__farmers__c,prior_plus_support_content_only,creative_generation,True,,support:hempholm_morwin_store|support:hempholm_small_problems|support:hempholm_treasure_materials,,,,,,False,0.003,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
24,q24_what_questions_should_the_weird_remains,prior_plus_support_content_only,creative_generation,True,,support:hempholm_treasure_materials,20,16,,,,False,0.1658,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
25,q25_how_does_hempholm_celebrate_if_the_visib,prior_plus_support_content_only,support_knowledge_required,True,visible_landmark,support:hempholm_morwin_store|support:hempholm_premature_celebration|support:hempholm_small_problems,29,11,11,support:hempholm_premature_celebration,7,True,0.2466,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
26,q26_what_social_friction_should_exist_during,prior_plus_support_content_only,creative_generation,True,,support:hempholm_premature_celebration,19,15,,,,False,0.2228,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
27,q27_which_pcs_are_likely_to_participate_in_c,prior_plus_support_content_only,mixed,True,,support:hempholm_premature_celebration|support:hempholm_small_problems,,,,,,False,0.0032,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
28,q28_what_is_the_deeper_problem_beneath_the_v,prior_plus_support_content_only,support_knowledge_required,True,visible_landmark,support:hempholm_caretaker_second_wave|support:hempholm_marrow_guardian_child|support:hempholm_root_descent|support:hempholm_saladin_optional,8,4,27,support:hempholm_marrow_guardian_child,14,True,0.4125,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
29,q29_how_do_i_foreshadow_the_deeper_threat_be,prior_plus_support_content_only,creative_generation,True,,support:hempholm_caretaker_second_wave|support:hempholm_root_descent,,,,,,False,0.0015,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
30,q30_what_should_the_cliffhanger_look_like_if,prior_plus_support_content_only,creative_generation,True,,support:hempholm_caretaker_second_wave|support:hempholm_premature_celebration,17,14,,,,False,0.0376,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
31,q31_if_the_session_ends_on_the_deeper_threat,prior_plus_support_content_only,creative_generation,True,first_impression,support:hempholm_caretaker_second_wave|support:hempholm_marrow_guardian_child|support:hempholm_root_descent,,18,,,,False,0.2523,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
32,q32_what_resources_are_likely_depleted_or_co,prior_plus_support_content_only,mixed,True,,,23,12,12,support:geomantic_drake_ecology,6,False,0.2243,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
33,q33_what_unanswered_questions_should_the_pla,prior_plus_support_content_only,creative_generation,True,,support:hempholm_continuation_guild_cleanup|support:hempholm_marrow_guardian_child|support:hempholm_root_descent,17,13,,,,False,0.0623,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
34,q34_which_facts_are_retrieved_from_prior_can,prior_plus_support_content_only,mixed,True,,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_travel_safe_generation_guidance|support:elderwyld_world_layer_overview|support:hempholm_continuation_guild_cleanup|support:mirathorn_city_destination_node|support:mireward_reach_northbound_route_warning,3,1,1,support:campaign2_mireward_tracker_do_not_backport,1,True,0.0672,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
36,q36_what_information_is_missing_from_the_cur,prior_plus_support_content_only,worldbuilding_required,True,,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_world_layer_overview|support:mirathorn_city_destination_node|support:mireward_reach_northbound_route_warning|support:stone_bridge_to_mirathorn_route_gap,18,14,14,support:stone_bridge_to_mirathorn_route_gap,7,True,0.0851,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
37,q37_what_prep_can_be_safely_generated_anyway,prior_plus_support_content_only,creative_generation,True,,support:elderwyld_travel_safe_generation_guidance,22,12,32,support:elderwyld_travel_safe_generation_guidance,,False,0.1528,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_present_incidental,ok_or_later_stage
38,q38_what_should_the_gm_decide_manually,prior_plus_support_content_only,mixed,True,,support:elderwyld_travel_safe_generation_guidance|support:hempholm_continuation_guild_cleanup|support:stone_bridge_to_mirathorn_route_gap,,,,,,False,0.0032,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
1,q01_who_are_the_npcs_the_players_encountered,prior_plus_support_content_plus_lexical_hints,prior_recap_supported,True,encounter_design,,,12,12,support:elderwyld_road_grammar_general,8,False,0.0717,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
2,q02_if_the_players_are_not_ready_to_leave_to,prior_plus_support_content_plus_lexical_hints,mixed,True,,,,,,,,False,0.0019,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_not_required,ok_or_later_stage
3,q03_how_far_away_is_mirathorn_at_this_point,prior_plus_support_content_plus_lexical_hints,worldbuilding_required,True,encounter_design,support:campaign2_mireward_tracker_do_not_backport|support:elderwyld_fantastic_livestock|support:elderwyld_reaches_distance_unit|support:elderwyld_road_grammar_general|support:elderwyld_travel_safe_generation_guidance|support:elderwyld_world_layer_overview|support:hempholm_support_overview|support:migrating_forest_pressure_logic|support:mirathorn_city_destination_node|support:mirathorn_final_approach_from_east|support:mireward_reach_northbound_route_warning|support:pre_era_conical_hills_world_ecology|support:stone_bridge_to_mirathorn_route_gap,,14,14,support:elderwyld_road_grammar_general,8,True,0.0596,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_present_incidental,ok_or_later_stage
4,q04_we_need_a_good_hemp_dealing_merchant_who,prior_plus_support_content_plus_lexical_hints,support_knowledge_required,True,first_impression,support:hempholm_hemp_economy|support:hempholm_road_hook_merchant_role|support:hempholm_saladin_optional|support:hempholm_support_overview,31,12,12,support:hempholm_road_hook_merchant_role,7,True,0.3749,"{""planner_affordances"": false, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": true}",support_allowed_and_present,ok_or_later_stage
5,q05_there_is_a_gigantic_tree_growing_in_hemp,prior_plus_support_content_plus_lexical_hints,support_knowledge_required,True,visible_landmark,support:hempholm_road_hook_merchant_role|support:hempholm_tree_visible_threat,22,15,19,support:hempholm_tree_visible_threat,11,True,0.4109,"{""planner_affordances"": true, ""retrieval_terms"": false, ""support_alias"": false, ""title_summary"": false}",support_allowed_and_present,tier_a_gold_regression
