question_id,question_number,retrieval_mode,variant_index,variant_role,target_lane,query,reason,hit_count,top_unit_ids,expected_target_hit,expected_target_rank
q11_what_are_the_first_three_npcs_the_player,11,prior_only,0,literal_question,all,"What are the first three NPCs the players should meet in Hempholm, and what immediate tension does each one represent?",original planner question,50,u-L0034-01|u-L0041-04|u-L0041-05|u-L0043-01|u-L0041-06,,
q11_what_are_the_first_three_npcs_the_player,11,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q11_what_are_the_first_three_npcs_the_player,11,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q11_what_are_the_first_three_npcs_the_player,11,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q12_what_questions_are_the_players_most_like,12,prior_only,0,literal_question,all,"What questions are the players most likely to ask when they see a magical metallic tree near a village, and what should my answers be?",original planner question,50,corpus:location:hempholm:canon-summary|corpus:npc:bubbles_the_float_goat:float-goat-species-context|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:session_recap:session-3:observed-play-prose|u-L0034-05,,
q13_what_observable_clues_should_reveal_that,13,prior_only,0,literal_question,all,What observable clues should reveal that the tree is dangerous before initiative starts?,original planner question,50,corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|u-L0034-03|u-L0034-04|u-L0034-02|u-L0034-05,,
q14_what_skill_checks_should_be_available_fo,14,prior_only,0,literal_question,all,"What skill checks should be available for studying the tree, and what information should each reveal?",original planner question,50,corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat|corpus:npc:bubbles_the_float_goat:float-goat-species-context,,
q15_how_do_i_teach_the_tree_s_reach_and_move,15,prior_only,0,literal_question,all,How do I teach the tree’s reach and movement without simply saying “it has a 30-foot reach”?,original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|u-L0034-04|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default,,
q16_who_in_town_wants_to_attack_or_burn_the,16,prior_only,0,literal_question,all,"Who in town wants to attack or burn the tree, and why? Give me a few NPC archetypes with dialogue.",original planner question,50,u-L0005-03|u-L0034-01|u-L0041-04|u-L0045-01|meta-session-0003-locations,,
q16_who_in_town_wants_to_attack_or_burn_the,16,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q16_who_in_town_wants_to_attack_or_burn_the,16,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q16_who_in_town_wants_to_attack_or_burn_the,16,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q17_how_can_stafl_or_another_social_characte,17,prior_only,0,literal_question,all,How can Stafl or another social character talk the mob down? What arguments would work or fail?,original planner question,50,u-L0034-01|u-L0034-05|u-L0043-01|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:statblock-generator-context,,
q18_what_happens_if_the_party_fails_to_stop,18,prior_only,0,literal_question,all,What happens if the party fails to stop the townsfolk from doing something reckless?,original planner question,50,u-L0011-01|u-L0003-01|u-L0005-03|u-L0034-01|u-L0034-02,,
q19_what_triggers_the_tree_to_escalate_from,19,prior_only,0,literal_question,all,What triggers the tree to escalate from ominous object to active threat?,original planner question,50,u-L0034-01|u-L0034-02|u-L0034-04|u-L0034-05|u-L0040-02,,
q20_design_the_tree_encounter_as_a_battlefie,20,prior_only,0,literal_question,all,"Design the tree encounter as a battlefield, not just a monster. What terrain, civilians, hazards, and objectives should be present?",original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:package-notes|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q21_what_should_each_type_of_pc_be_able_to_c,21,prior_only,0,literal_question,all,"What should each type of PC be able to contribute in this scene: social, martial, caster, mobility, investigator?",original planner question,50,u-L0003-01|u-L0034-01|u-L0005-03|u-L0007-01|u-L0007-03,,
q22_if_the_party_defeats_the_tree__what_rema,22,prior_only,0,literal_question,all,"If the party defeats the tree, what remains? What can be looted, studied, harvested, or misunderstood?",original planner question,50,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:location:hempholm:authority-stance|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:location:hempholm:open-canon-questions,,
q23_how_would_local_craftspeople__farmers__c,23,prior_only,0,literal_question,all,"How would local craftspeople, farmers, children, and opportunists react to the fallen tree?",original planner question,50,u-L0034-01|u-L0034-02|u-L0034-04|u-L0034-05|u-L0040-08,,
q24_what_questions_should_the_weird_remains,24,prior_only,0,literal_question,all,What questions should the weird remains raise so the players do not assume the problem is fully solved?,original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|u-L0034-03|u-L0034-04|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q25_how_does_hempholm_celebrate_if_the_visib,25,prior_only,0,literal_question,all,"How does Hempholm celebrate if the visible threat is destroyed? Give me food, drink, music, mood, and NPC behavior.",original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:location:hempholm:open-canon-questions|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:package-notes|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q25_how_does_hempholm_celebrate_if_the_visib,25,prior_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q25_how_does_hempholm_celebrate_if_the_visib,25,prior_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q25_how_does_hempholm_celebrate_if_the_visib,25,prior_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q26_what_social_friction_should_exist_during,26,prior_only,0,literal_question,all,What social friction should exist during the celebration so the town feels real and imperfect?,original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:location:rivers_edge_pub:npc-and-social-anchors|corpus:npc:bubbles_the_float_goat:float-goat-species-context|corpus:npc:bubbles_the_float_goat:source-pointers|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q27_which_pcs_are_likely_to_participate_in_c,27,prior_only,0,literal_question,all,"Which PCs are likely to participate in celebration, abstain, investigate, or exploit the aftermath based on prior behavior?",original planner question,50,u-L0041-04|u-L0034-01|u-L0041-05|u-L0041-06|u-L0043-01,,
q28_what_is_the_deeper_problem_beneath_the_v,28,prior_only,0,literal_question,all,"What is the deeper problem beneath the visible tree threat? Give me three possible explanations, each with different implications for next session.",original planner question,50,corpus:session_recap:session-3:observed-play-prose|u-L0034-04|corpus:location:hempholm:sub-locations-and-scene-anchors|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default,,
q29_how_do_i_foreshadow_the_deeper_threat_be,29,prior_only,0,literal_question,all,"How do I foreshadow the deeper threat before it erupts, without giving it away?",original planner question,50,corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:statblock-generator-context|u-L0034-04|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q30_what_should_the_cliffhanger_look_like_if,30,prior_only,0,literal_question,all,What should the cliffhanger look like if the session ends as the deeper threat erupts?,original planner question,50,corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:session_recap:session-3:observed-play-prose|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|corpus:npc:bubbles_the_float_goat:float-goat-species-context,,
q31_if_the_session_ends_on_the_deeper_threat,31,prior_only,0,literal_question,all,"If the session ends on the deeper threat erupting, what are the first three decisions the players should face next session?",original planner question,50,corpus:session_recap:session-3:observed-play-prose|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default,,
q32_what_resources_are_likely_depleted_or_co,32,prior_only,0,literal_question,all,What resources are likely depleted or compromised by this point?,original planner question,50,corpus:location:stone_bridge:campaign-canon-npcs-anchored-here|corpus:location:hempholm:authority-stance|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:location:hempholm:suggested-reads-in-order|corpus:location:rivers_edge_pub:npc-and-social-anchors,,
q33_what_unanswered_questions_should_the_pla,33,prior_only,0,literal_question,all,What unanswered questions should the players carry out of this session?,original planner question,50,corpus:session_recap:session-3:observed-play-prose|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|corpus:location:rivers_edge_pub:npc-and-social-anchors|corpus:npc:bubbles_the_float_goat:bubbles-at-the-table|corpus:npc:bubbles_the_float_goat:source-pointers,,
q34_which_facts_are_retrieved_from_prior_can,34,prior_only,0,literal_question,all,"Which facts are retrieved from prior canon, which are generated extrapolations, and which require external worldbuilding notes?",original planner question,50,corpus:location:hempholm:canon-summary|corpus:session_recap:session-3:observed-play-prose|corpus:location:hempholm:authority-stance|corpus:location:hempholm:campaign-canon-npcs-anchored-here|corpus:location:hempholm:canon-location-texture,,
q36_what_information_is_missing_from_the_cur,36,prior_only,0,literal_question,all,What information is missing from the current KB that would improve this beat?,original planner question,50,u-L0034-04|corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first|u-L0034-03|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|corpus:session_recap:session-3:observed-play-prose,,
q37_what_prep_can_be_safely_generated_anyway,37,prior_only,0,literal_question,all,What prep can be safely generated anyway?,original planner question,50,corpus:location:hempholm:authority-stance|corpus:session_recap:session-3:observed-play-prose|corpus:location:hempholm:open-canon-questions|corpus:location:hempholm:suggested-reads-in-order|corpus:location:hempholm:support-adaptation-npcs-not-automatically-canon,,
q38_what_should_the_gm_decide_manually,38,prior_only,0,literal_question,all,What should the GM decide manually?,original planner question,50,corpus:npc:bubbles_the_float_goat:package-notes|corpus:npc:bubbles_the_float_goat:session-recaps-no-pinned-default|corpus:npc:bubbles_the_float_goat:source-pointers|corpus:npc:bubbles_the_float_goat:statblock-generator-context|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order,,
q01_who_are_the_npcs_the_players_encountered,1,prior_plus_support_content_only,0,literal_question,all,"Who are the NPCs the players encountered in Stone Bridge, how do they think about the party, and what are they doing in the morning after the events of the prior night's flood? Prepare dialogue, a visual description, and emotional/mental states for those NPCs.",original planner question,50,u-L0034-01|corpus:session_recap:session-3:observed-play-prose|u-L0003-01|u-L0041-05|u-L0043-01,,
q01_who_are_the_npcs_the_players_encountered,1,prior_plus_support_content_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q01_who_are_the_npcs_the_players_encountered,1,prior_plus_support_content_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q01_who_are_the_npcs_the_players_encountered,1,prior_plus_support_content_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_plus_support_content_only,0,literal_question,all,"If the players are not ready to leave town, what are some ways we could motivate them to get on the road?",original planner question,50,corpus:session_recap:session-3:observed-play-prose|u-L0034-01|u-L0007-01|u-L0011-03|meta-session-0001-locations,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_plus_support_content_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_plus_support_content_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q02_if_the_players_are_not_ready_to_leave_to,2,prior_plus_support_content_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_plus_support_content_only,0,literal_question,all,How far away is Mirathorn at this point? Is anyone traveling that direction? What will they see and encounter on the road?,original planner question,50,corpus:location:hempholm:canon-summary|corpus:npc:bubbles_the_float_goat:suggested-reads-in-order|u-L0034-03|u-L0034-04|u-L0043-04,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_plus_support_content_only,1,route_distance_alias,prior_campaign_memory,Stone Bridge Mirathorn route travel week on foot,Session 3 distance estimate and route context,20,corpus:location:stone_bridge:open-canon-questions|meta-session-0003-locations|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0003-01,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_plus_support_content_only,2,route_distance_alias,prior_campaign_memory,Stone Bridge to Mirathorn exact route unknown,Route gap plus Stone Bridge anchor,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-03,,
q03_how_far_away_is_mirathorn_at_this_point,3,prior_plus_support_content_only,3,route_distance_alias,prior_campaign_memory,Mirathorn week on foot Stone Bridge,Mirathorn travel-time phrasing from play recap,20,meta-session-0003-locations|corpus:location:stone_bridge:open-canon-questions|corpus:location:stone_bridge:canon-summary|corpus:location:stone_bridge:retrieval-keywords|u-L0043-02,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_plus_support_content_only,0,literal_question,all,"We need a good hemp-dealing merchant who will plant the hook for stopping in Hempholm. Give me a list of NPC names, first and last, with a brief description of appearance and attitude.",original planner question,50,u-L0005-03|u-L0013-01|corpus:location:hempholm:campaign-canon-npcs-anchored-here|u-L0034-01|corpus:location:hempholm:canon-summary,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_plus_support_content_only,1,npc_target_alias,character_party_behavior,Pippa Bubbles Grishna Stone Bridge River's Edge Pub NPCs,PR58 C1S4 target NPC and location family for broad encounter recall,20,u-L0034-02|u-L0036-01|u-L0034-03|u-L0005-02|u-L0011-02,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_plus_support_content_only,2,npc_target_alias,character_party_behavior,encountered NPCs Pippa Bubbles Grishna,PR58 target NPC continuity aliases for broad NPC question,20,u-L0034-02|u-L0034-03|u-L0034-04|u-L0034-05|u-L0036-01,,
q04_we_need_a_good_hemp_dealing_merchant_who,4,prior_plus_support_content_only,3,npc_target_alias,character_party_behavior,Grishna River's Edge Pub,Grishna pub anchor for thin hub recall,20,u-L0005-02|u-L0011-02|u-L0007-01|corpus:location:rivers_edge_pub:canon-summary|corpus:location:rivers_edge_pub:retrieval-keywords,,
