probe,mode,top_k,hit_count,top_refs,expected_refs_hit,expected_paths_hit,first_expected_rank,source_kinds_seen,subject_classes_seen,notes
Bubbles Float Goat,prior_only,20,20,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,1,[''],,actual retrieval probe
Bubbles Float Goat,prior_only,50,50,"['corpus:npc:bubbles_the_float_goat:bubbles-the-float-goat', 'corpus:npc:bubbles_the_float_goat:mechanical-sheets-priority-highest-first', 'corpus:npc:bubbles_the_float_goat:source-pointers', 'corpus:npc:bubbles_the_float_goat:suggested-reads-in-order', 'u-L0034-02']",True,True,1,[''],,actual retrieval probe
Grishna River's Edge Pub,prior_only,10,10,"['u-L0005-02', 'u-L0011-02', 'u-L0007-01', 'corpus:location:rivers_edge_pub:canon-summary', 'corpus:location:rivers_edge_pub:retrieval-keywords']",False,False,31,[''],,actual retrieval probe
Grishna River's Edge Pub,prior_only,20,20,"['u-L0005-02', 'u-L0011-02', 'u-L0007-01', 'corpus:location:rivers_edge_pub:canon-summary', 'corpus:location:rivers_edge_pub:retrieval-keywords']",False,False,31,[''],,actual retrieval probe
Grishna River's Edge Pub,prior_only,50,50,"['u-L0005-02', 'u-L0011-02', 'u-L0007-01', 'corpus:location:rivers_edge_pub:canon-summary', 'corpus:location:rivers_edge_pub:retrieval-keywords']",True,True,31,[''],,actual retrieval probe
Stone Bridge flood,prior_only,10,10,"['corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:cross-references', 'corpus:location:stone_bridge:retrieval-keywords', 'corpus:location:stone_bridge:suggested-reads', 'meta-session-0003-locations']",True,True,1,[''],,actual retrieval probe
Stone Bridge flood,prior_only,20,20,"['corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:cross-references', 'corpus:location:stone_bridge:retrieval-keywords', 'corpus:location:stone_bridge:suggested-reads', 'meta-session-0003-locations']",True,True,1,[''],,actual retrieval probe
Stone Bridge flood,prior_only,50,50,"['corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:cross-references', 'corpus:location:stone_bridge:retrieval-keywords', 'corpus:location:stone_bridge:suggested-reads', 'meta-session-0003-locations']",True,True,1,[''],,actual retrieval probe
Mirathorn week on foot,prior_only,10,10,"['meta-session-0003-locations', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:session_recap:session-3:observed-play-prose', 'u-L0043-02', 'u-L0043-04']",True,True,3,[''],,actual retrieval probe
Mirathorn week on foot,prior_only,20,20,"['meta-session-0003-locations', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:session_recap:session-3:observed-play-prose', 'u-L0043-02', 'u-L0043-04']",True,True,3,[''],,actual retrieval probe
Mirathorn week on foot,prior_only,50,50,"['meta-session-0003-locations', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:session_recap:session-3:observed-play-prose', 'u-L0043-02', 'u-L0043-04']",True,True,3,[''],,actual retrieval probe
Stone Bridge Mirathorn,prior_only,10,10,"['meta-session-0003-locations', 'corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:location:stone_bridge:retrieval-keywords', 'u-L0043-02']",True,True,2,[''],,actual retrieval probe
Stone Bridge Mirathorn,prior_only,20,20,"['meta-session-0003-locations', 'corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:location:stone_bridge:retrieval-keywords', 'u-L0043-02']",True,True,2,[''],,actual retrieval probe
Stone Bridge Mirathorn,prior_only,50,50,"['meta-session-0003-locations', 'corpus:location:stone_bridge:canon-summary', 'corpus:location:stone_bridge:open-canon-questions', 'corpus:location:stone_bridge:retrieval-keywords', 'u-L0043-02']",True,True,2,[''],,actual retrieval probe
Hempholm giant tree,prior_only,10,10,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:retrieval-keywords']",True,True,1,[''],,actual retrieval probe
Hempholm giant tree,prior_only,20,19,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:retrieval-keywords']",True,True,1,[''],,actual retrieval probe
Hempholm giant tree,prior_only,50,19,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:retrieval-keywords']",True,True,1,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_only,10,10,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",False,False,15,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_only,20,20,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",True,True,15,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_only,50,34,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",True,True,15,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_plus_lexical_hints,10,10,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",False,False,11,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_plus_lexical_hints,20,20,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",True,True,11,[''],,actual retrieval probe
Hempholm visible threat giant tree,prior_plus_support_content_plus_lexical_hints,50,34,"['corpus:location:hempholm:campaign-canon-npcs-anchored-here', 'corpus:location:hempholm:canon-location-texture', 'corpus:location:hempholm:canon-summary', 'corpus:location:hempholm:cross-references', 'corpus:location:hempholm:open-canon-questions']",True,True,11,[''],,actual retrieval probe
